Date,Load
11/01/2023 23.30,1215.329
12/01/2023 00.00,1316.834
12/01/2023 00.30,623.299
12/01/2023 01.00,625.856
12/01/2023 01.30,596.569
12/01/2023 02.00,578.037
12/01/2023 02.30,600.09
12/01/2023 03.00,590.547
12/01/2023 03.30,541.451
12/01/2023 04.00,452.866
12/01/2023 04.30,462.245
12/01/2023 05.00,478.137
12/01/2023 05.30,472.94
12/01/2023 06.00,435.779
12/01/2023 06.30,468.194
12/01/2023 07.00,450.89
12/01/2023 07.30,400.64
12/01/2023 08.00,382.713
12/01/2023 08.30,325.128
12/01/2023 09.00,342.596
12/01/2023 09.30,382.57
12/01/2023 10.00,156.173
12/01/2023 10.30,696.31
12/01/2023 11.00,2793.418
12/01/2023 11.30,2267.084
12/01/2023 12.00,2280.861
12/01/2023 12.30,3063.386
12/01/2023 13.00,3069.995
12/01/2023 13.30,3318.603
12/01/2023 14.00,3023.422
12/01/2023 14.30,2411.126
12/01/2023 15.00,2656.004
12/01/2023 15.30,2906.431
12/01/2023 16.00,3002.173
12/01/2023 16.30,3605.701
12/01/2023 17.00,3692.328
12/01/2023 17.30,3669.555
12/01/2023 18.00,3624.691
12/01/2023 18.30,3735.484
12/01/2023 19.00,3760.894
12/01/2023 19.30,3713.68
12/01/2023 20.00,3628.193
12/01/2023 20.30,3449.503
12/01/2023 21.00,3354.992
12/01/2023 21.30,2558.69
12/01/2023 22.00,2249.882
12/01/2023 22.30,1316.041
12/01/2023 23.00,1251.74
12/01/2023 23.30,1269.857
13/01/2023 00.00,1289.801
13/01/2023 00.30,575.556
13/01/2023 01.00,594.162
13/01/2023 01.30,568.621
13/01/2023 02.00,543.926
13/01/2023 02.30,517.768
13/01/2023 03.00,518.742
13/01/2023 03.30,500.498
13/01/2023 04.00,483.171
13/01/2023 04.30,477.968
13/01/2023 05.00,474.816
13/01/2023 05.30,483.004
13/01/2023 06.00,425.129
13/01/2023 06.30,466.748
13/01/2023 07.00,427.04
13/01/2023 07.30,343.677
13/01/2023 08.00,389.543
13/01/2023 08.30,359.365
13/01/2023 09.00,618.223
13/01/2023 09.30,390.353
13/01/2023 10.00,232.936
13/01/2023 10.30,928.547
13/01/2023 11.00,2156.218
13/01/2023 11.30,2640.113
13/01/2023 12.00,3306.241
13/01/2023 12.30,3063.204
13/01/2023 13.00,2225.782
13/01/2023 13.30,3717.458
13/01/2023 14.00,3363.691
13/01/2023 14.30,3638.111
13/01/2023 15.00,3738.474
13/01/2023 15.30,3482.411
13/01/2023 16.00,3513.256
13/01/2023 16.30,3535.302
13/01/2023 17.00,3491.959
13/01/2023 17.30,3867.434
13/01/2023 18.00,3997.712
13/01/2023 18.30,3716.774
13/01/2023 19.00,3916.326
13/01/2023 19.30,3884.974
13/01/2023 20.00,3701.681
13/01/2023 20.30,3698.025
13/01/2023 21.00,3528.612
13/01/2023 21.30,2624.608
13/01/2023 22.00,2328.194
13/01/2023 22.30,1395.944
13/01/2023 23.00,1354.153
13/01/2023 23.30,1278.405
14/01/2023 00.00,1174.037
14/01/2023 00.30,1132.002
14/01/2023 01.00,618.683
14/01/2023 01.30,569.208
14/01/2023 02.00,516.389
14/01/2023 02.30,517.326
14/01/2023 03.00,553.31
14/01/2023 03.30,509.5
14/01/2023 04.00,481.545
14/01/2023 04.30,463.581
14/01/2023 05.00,483.261
14/01/2023 05.30,455.295
14/01/2023 06.00,492.487
14/01/2023 06.30,497.4
14/01/2023 07.00,525.523
14/01/2023 07.30,461.924
14/01/2023 08.00,486.059
14/01/2023 08.30,540.95
14/01/2023 09.00,505.778
14/01/2023 09.30,816.097
14/01/2023 10.00,2647.497
14/01/2023 10.30,2747.543
14/01/2023 11.00,3552.964
14/01/2023 11.30,2713.137
14/01/2023 12.00,2502.466
14/01/2023 12.30,3855.402
14/01/2023 13.00,2682.685
14/01/2023 13.30,3491.443
14/01/2023 14.00,3287.259
14/01/2023 14.30,3698.158
14/01/2023 15.00,3512.566
14/01/2023 15.30,3838.355
14/01/2023 16.00,3834.568
14/01/2023 16.30,3766.06
14/01/2023 17.00,3770.136
14/01/2023 17.30,3832.821
14/01/2023 18.00,3987.573
14/01/2023 18.30,3801.206
14/01/2023 19.00,3946.667
14/01/2023 19.30,3829.486
14/01/2023 20.00,3882.004
14/01/2023 20.30,3702.453
14/01/2023 21.00,3570.653
14/01/2023 21.30,2556.409
14/01/2023 22.00,2354.814
14/01/2023 22.30,1414.125
14/01/2023 23.00,1337.776
14/01/2023 23.30,1151.092
15/01/2023 00.00,1141.615
15/01/2023 00.30,1089.118
15/01/2023 01.00,1065.517
15/01/2023 01.30,606.14
15/01/2023 02.00,552.657
15/01/2023 02.30,541.387
15/01/2023 03.00,560.81
15/01/2023 03.30,557.658
15/01/2023 04.00,475.363
15/01/2023 04.30,445.486
15/01/2023 05.00,2.767
15/01/2023 05.30,2.766
15/01/2023 06.00,4.87
15/01/2023 06.30,4.558
15/01/2023 07.00,0
15/01/2023 07.30,162.084
15/01/2023 08.00,475.795
15/01/2023 08.30,529.717
15/01/2023 09.00,472.887
15/01/2023 09.30,533.927
15/01/2023 10.00,2519.954
15/01/2023 10.30,2592.017
15/01/2023 11.00,2353.118
15/01/2023 11.30,2326.659
15/01/2023 12.00,2294.065
15/01/2023 12.30,2324.886
15/01/2023 13.00,2583.81
15/01/2023 13.30,2521.194
15/01/2023 14.00,2513.361
15/01/2023 14.30,2648.422
15/01/2023 15.00,2763.804
15/01/2023 15.30,2897.566
15/01/2023 16.00,3268.242
15/01/2023 16.30,3457.018
15/01/2023 17.00,3553.787
15/01/2023 17.30,3728.923
15/01/2023 18.00,3904.094
15/01/2023 18.30,3983.142
15/01/2023 19.00,3989.483
15/01/2023 19.30,3948.307
15/01/2023 20.00,3671.375
15/01/2023 20.30,3621.513
15/01/2023 21.00,2874.827
15/01/2023 21.30,2610.618
15/01/2023 22.00,2302.766
15/01/2023 22.30,1399.193
15/01/2023 23.00,1301.763
15/01/2023 23.30,1142.864
16/01/2023 00.00,1063.56
16/01/2023 00.30,566.96
16/01/2023 01.00,550.41
16/01/2023 01.30,536.365
16/01/2023 02.00,509.654
16/01/2023 02.30,527.404
16/01/2023 03.00,472.569
16/01/2023 03.30,479.583
16/01/2023 04.00,451.986
16/01/2023 04.30,438.074
16/01/2023 05.00,444.456
16/01/2023 05.30,446.528
16/01/2023 06.00,427.395
16/01/2023 06.30,497.74
16/01/2023 07.00,506.601
16/01/2023 07.30,367.913
16/01/2023 08.00,408.163
16/01/2023 08.30,397.424
16/01/2023 09.00,272.264
16/01/2023 09.30,326.954
16/01/2023 10.00,280.468
16/01/2023 10.30,357.895
16/01/2023 11.00,2179.291
16/01/2023 11.30,2448.844
16/01/2023 12.00,1780.469
16/01/2023 12.30,2089.336
16/01/2023 13.00,2557.509
16/01/2023 13.30,2437.367
16/01/2023 14.00,2434.757
16/01/2023 14.30,2379.43
